Loss : tensor(0.4271, grad_fn=<AddBackward0>)
Loss : tensor(0.4613, grad_fn=<AddBackward0>)
Loss : tensor(0.4347, grad_fn=<AddBackward0>)
Loss : tensor(0.3589, grad_fn=<AddBackward0>)
Loss : tensor(0.5268, grad_fn=<AddBackward0>)
Loss : tensor(0.4954, grad_fn=<AddBackward0>)
Loss : tensor(0.4764, grad_fn=<AddBackward0>)
Loss : tensor(0.5140, grad_fn=<AddBackward0>)
Loss : tensor(0.4488, grad_fn=<AddBackward0>)
Loss : tensor(0.5669, grad_fn=<AddBackward0>)
Loss : tensor(0.4358, grad_fn=<AddBackward0>)
Loss : tensor(0.5730, grad_fn=<AddBackward0>)
Loss : tensor(0.4377, grad_fn=<AddBackward0>)
Loss : tensor(0.5459, grad_fn=<AddBackward0>)
Loss : tensor(0.4433, grad_fn=<AddBackward0>)
Loss : tensor(0.5902, grad_fn=<AddBackward0>)
Loss : tensor(0.5584, grad_fn=<AddBackward0>)
Loss : tensor(0.4746, grad_fn=<AddBackward0>)
Loss : tensor(0.4163, grad_fn=<AddBackward0>)
Loss : tensor(0.3876, grad_fn=<AddBackward0>)
Loss : tensor(0.4659, grad_fn=<AddBackward0>)
Loss : tensor(0.4714, grad_fn=<AddBackward0>)
Loss : tensor(0.4386, grad_fn=<AddBackward0>)
Loss : tensor(0.5289, grad_fn=<AddBackward0>)
Loss : tensor(0.4068, grad_fn=<AddBackward0>)
Loss : tensor(0.4171, grad_fn=<AddBackward0>)
Loss : tensor(0.5112, grad_fn=<AddBackward0>)
Loss : tensor(0.5622, grad_fn=<AddBackward0>)
Loss : tensor(0.5267, grad_fn=<AddBackward0>)
Loss : tensor(0.4022, grad_fn=<AddBackward0>)
Loss : tensor(0.4813, grad_fn=<AddBackward0>)
Loss : tensor(0.3478, grad_fn=<AddBackward0>)
Loss : tensor(0.4489, grad_fn=<AddBackward0>)
Loss : tensor(0.4053, grad_fn=<AddBackward0>)
Loss : tensor(0.4888, grad_fn=<AddBackward0>)
Loss : tensor(0.4396, grad_fn=<AddBackward0>)
Loss : tensor(0.5578, grad_fn=<AddBackward0>)
Loss : tensor(0.5067, grad_fn=<AddBackward0>)
Loss : tensor(0.4847, grad_fn=<AddBackward0>)
Loss : tensor(0.4099, grad_fn=<AddBackward0>)
Loss : tensor(0.3883, grad_fn=<AddBackward0>)
Loss : tensor(0.4862, grad_fn=<AddBackward0>)
Loss : tensor(0.4748, grad_fn=<AddBackward0>)
Loss : tensor(0.3667, grad_fn=<AddBackward0>)
Loss : tensor(0.5255, grad_fn=<AddBackward0>)
Loss : tensor(0.3955, grad_fn=<AddBackward0>)
Loss : tensor(0.3610, grad_fn=<AddBackward0>)
Loss : tensor(0.4591, grad_fn=<AddBackward0>)
Loss : tensor(0.3873, grad_fn=<AddBackward0>)
Loss : tensor(0.3987, grad_fn=<AddBackward0>)
Loss : tensor(0.5338, grad_fn=<AddBackward0>)
Loss : tensor(0.4405, grad_fn=<AddBackward0>)
Loss : tensor(0.5369, grad_fn=<AddBackward0>)
Loss : tensor(0.4211, grad_fn=<AddBackward0>)
Loss : tensor(0.4123, grad_fn=<AddBackward0>)
Loss : tensor(0.5049, grad_fn=<AddBackward0>)
Loss : tensor(0.4097, grad_fn=<AddBackward0>)
Loss : tensor(0.5649, grad_fn=<AddBackward0>)
Loss : tensor(0.3426, grad_fn=<AddBackward0>)
Loss : tensor(0.3196, grad_fn=<AddBackward0>)
Loss : tensor(0.4314, grad_fn=<AddBackward0>)
Loss : tensor(0.5220, grad_fn=<AddBackward0>)
Loss : tensor(0.4385, grad_fn=<AddBackward0>)
Loss : tensor(0.4186, grad_fn=<AddBackward0>)
Loss : tensor(0.4962, grad_fn=<AddBackward0>)
Loss : tensor(0.3949, grad_fn=<AddBackward0>)
Loss : tensor(0.4239, grad_fn=<AddBackward0>)
Loss : tensor(0.5156, grad_fn=<AddBackward0>)
Loss : tensor(0.3259, grad_fn=<AddBackward0>)
Loss : tensor(0.4244, grad_fn=<AddBackward0>)
Loss : tensor(0.4589, grad_fn=<AddBackward0>)
Loss : tensor(0.4523, grad_fn=<AddBackward0>)
Loss : tensor(0.4343, grad_fn=<AddBackward0>)
Loss : tensor(0.5401, grad_fn=<AddBackward0>)
Loss : tensor(0.4766, grad_fn=<AddBackward0>)
Loss : tensor(0.3935, grad_fn=<AddBackward0>)
Loss : tensor(0.3415, grad_fn=<AddBackward0>)
Loss : tensor(0.3650, grad_fn=<AddBackward0>)
Loss : tensor(0.4005, grad_fn=<AddBackward0>)
Loss : tensor(0.5338, grad_fn=<AddBackward0>)
Loss : tensor(0.4325, grad_fn=<AddBackward0>)
Loss : tensor(0.4778, grad_fn=<AddBackward0>)
Loss : tensor(0.4016, grad_fn=<AddBackward0>)
Loss : tensor(0.4382, grad_fn=<AddBackward0>)
Loss : tensor(0.3507, grad_fn=<AddBackward0>)
Loss : tensor(0.4275, grad_fn=<AddBackward0>)
Loss : tensor(0.4431, grad_fn=<AddBackward0>)
Loss : tensor(0.4058, grad_fn=<AddBackward0>)
Loss : tensor(0.4812, grad_fn=<AddBackward0>)
Loss : tensor(0.3929, grad_fn=<AddBackward0>)
Loss : tensor(0.3709, grad_fn=<AddBackward0>)
Loss : tensor(0.3498, grad_fn=<AddBackward0>)
Loss : tensor(0.5342, grad_fn=<AddBackward0>)
Loss : tensor(0.3528, grad_fn=<AddBackward0>)
Loss : tensor(0.3429, grad_fn=<AddBackward0>)
Loss : tensor(0.4356, grad_fn=<AddBackward0>)
Loss : tensor(0.3439, grad_fn=<AddBackward0>)
Loss : tensor(0.5570, grad_fn=<AddBackward0>)
Loss : tensor(0.3852, grad_fn=<AddBackward0>)
Loss : tensor(0.4110, grad_fn=<AddBackward0>)
Loss : tensor(0.4860, grad_fn=<AddBackward0>)
Loss : tensor(0.4497, grad_fn=<AddBackward0>)
Loss : tensor(0.4261, grad_fn=<AddBackward0>)
Loss : tensor(0.3627, grad_fn=<AddBackward0>)
Loss : tensor(0.4074, grad_fn=<AddBackward0>)
Loss : tensor(0.3513, grad_fn=<AddBackward0>)
Loss : tensor(0.4848, grad_fn=<AddBackward0>)
Loss : tensor(0.4453, grad_fn=<AddBackward0>)
Loss : tensor(0.3853, grad_fn=<AddBackward0>)
Loss : tensor(0.3844, grad_fn=<AddBackward0>)
Loss : tensor(0.3223, grad_fn=<AddBackward0>)
Loss : tensor(0.4206, grad_fn=<AddBackward0>)
Loss : tensor(0.5207, grad_fn=<AddBackward0>)
Loss : tensor(0.3892, grad_fn=<AddBackward0>)
Loss : tensor(0.4773, grad_fn=<AddBackward0>)
Loss : tensor(0.4627, grad_fn=<AddBackward0>)
Loss : tensor(0.4561, grad_fn=<AddBackward0>)
Loss : tensor(0.4904, grad_fn=<AddBackward0>)
Loss : tensor(0.4463, grad_fn=<AddBackward0>)
Loss : tensor(0.4337, grad_fn=<AddBackward0>)
Loss : tensor(0.4326, grad_fn=<AddBackward0>)
Loss : tensor(0.4820, grad_fn=<AddBackward0>)
Loss : tensor(0.4063, grad_fn=<AddBackward0>)
Loss : tensor(0.3278, grad_fn=<AddBackward0>)
Loss : tensor(0.4848, grad_fn=<AddBackward0>)
Loss : tensor(0.5167, grad_fn=<AddBackward0>)
